Td    ID    Tj    Df    Dd    Db
621   49    10    0     611   611
621   692   139   0     482   482
621   2644  129   0     492   492
621   43    9     0     612   612
622   731   147   0     475   475
622   109   22    0     600   600
622   57    12    0     610   610
623   478   96    0     527   527
623   120   24    0     599   599
623   2860  172   18    433   451
623   2630  126   1     496   497
623   2665  133   46    444   490
624   810   162   3     459   462
624   823   165   0     459   459
624   947   190   0     434   434
624   805   161   0     463   463
624   2606  122   32    470   502
625   510   102   1     522   523
625   505   101   0     524   524
625   417   84    0     541   541
625   2399  80    37    508   545
625   2922  185   6     434   440
625   51    11    0     614   614
625   50    10    0     615   615
626   542   109   0     517   517
626   46    10    0     616   616
627   606   122   1     504   505
627   2784  157   3     467   470
627   2787  158   120   349   469
627   44    9     0     618   618
628   48    10    0     618   618
629   45    9     0     620   620
629   41    9     606   14    620
630   342   69    0     561   561
630   277   56    0     574   574
630   548   110   0     520   520
630   2638  128   22    480   502
630   2520  104   35    491   526
630   34    7     0     623   623
631   951   191   0     440   440
631   426   86    0     545   545
631   69    14    0     617   617
631   2974  195   72    364   436
631   2555  111   11    509   520
631   32    7     0     624   624
631   22    5     1     625   626
632   671   135   0     497   497
632   2503  101   49    482   531
632   2724  145   0     487   487
633   2338  68    144   421   565
633   2563  113   34    486   520
633   25    5     0     628   628
633   35    7     0     626   626
634   420   84    146   404   550
634   594   119   17    498   515
634   2534  107   14    513   527
634   2651  131   22    481   503
635   967   194   0     441   441
635   287   58    0     577   577
635   357   72    173   390   563
635   773   155   0     480   480
635   117   24    0     611   611
635   2686  138   28    469   497
635   28    6     0     629   629
636   2874  175   52    409   461
636   2876  176   10    450   460
636   2797  160   25    451   476
636   2700  140   8     488   496
636   2936  188   14    434   448
636   24    5     0     631   631
637   20    4     0     633   633
638   106   22    116   500   616
638   669   134   0     504   504
638   21    5     617   16    633
639   626   126   90    423   513
639   18    4     0     635   635
640   498   100   152   388   540
640   768   154   0     486   486
640   13    3     0     637   637
640   16    4     0     636   636
641   5     1     0     640   640
642   902   181   0     461   461
642   19    4     1     637   638
642   370   74    0     568   568
642   833   167   0     475   475
642   503   101   0     541   541
642   663   133   0     509   509
642   11    3     0     639   639
642   12    3     0     639   639
643   553   111   0     532   532
643   728   146   0     497   497
643   771   155   0     488   488
643   148   30    0     613   613
643   150   30    0     613   613
644   56    12    215   417   632
644   300   60    0     584   584
644   93    19    0     625   625
644   932   187   1     456   457
644   377   76    0     568   568
644   629   126   0     518   518
644   390   78    0     566   566
644   557   112   1     531   532
645   387   78    1     566   567
645   222   45    0     600   600
645   10    2     0     643   643
646   9     2     0     644   644
646   3     1     0     645   645
647   2764  153   17    477   494
647   2915  183   22    442   464
647   8     2     0     645   645
648   643   129   0     519   519
648   853   171   0     477   477
648   829   166   0     482   482
648   494   99    0     549   549
648   907   182   0     466   466
648   2     1     0     647   647
649   460   92    0     557   557
649   239   48    0     601   601
649   104   21    0     628   628
650   116   24    0     626   626
650   2273  55    33    562   595
651   2610  122   12    517   529
653   325   65    0     588   588
653   892   179   39    435   474
653   369   74    0     579   579
653   865   173   53    427   480
653   890   178   0     475   475
654   578   116   0     538   538
655   2684  137   26    492   518
656   78    16    0     640   640
656   769   154   115   387   502
656   2239  48    84    524   608
657   122   25    4     628   632
657   516   104   0     553   553
657   897   180   0     477   477
657   520   104   11    542   553
658   283   57    0     601   601
658   710   142   0     516   516
658   665   133   0     525   525
658   708   142   120   396   516
658   340   68    145   445   590
658   4     1     0     657   657
658   26    6     0     652   652
659   780   156   136   367   503
659   591   119   0     540   540
660   127   26    186   448   634
660   344   69    0     591   591
660   337   68    232   360   592
661   496   100   0     561   561
661   378   76    0     585   585
661   157   32    0     629   629
662   91    19    0     643   643
662   171   35    0     627   627
662   309   62    0     600   600
662   680   136   0     526   526
662   882   177   0     485   485
662   918   184   0     478   478
662   982   197   0     465   465
665   162   33    0     632   632
665   174   35    0     630   630
666   562   113   179   374   553
666   518   104   0     562   562
666   86    18    0     648   648
666   747   150   0     516   516
666   796   160   0     506   506
667   458   92    0     575   575
667   848   170   2     495   497
667   753   151   0     516   516
668   841   169   0     499   499
669   507   102   0     567   567
669   253   51    0     618   618
669   429   86    0     583   583
669   905   181   0     488   488
670   636   128   0     542   542
670   568   114   0     556   556
670   963   193   63    414   477
670   656   132   77    461   538
670   361   73    149   448   597
671   990   198   58    415   473
671   439   88    0     583   583
671   351   71    0     600   600
671   513   103   9     559   568
671   2740  148   113   410   523
672   15    3     2     667   669
672   752   151   177   344   521
672   2894  179   28    465   493
673   614   123   0     550   550
673   138   28    0     645   645
673   430   86    0     587   587
674   136   28    0     646   646
674   206   42    0     632   632
674   906   182   0     492   492
674   483   97    238   339   577
674   2693  139   10    525   535
675   176   36    0     639   639
675   900   180   0     495   495
675   824   165   0     510   510
675   368   74    164   437   601
675   197   40    188   447   635
676   194   39    0     637   637
676   237   48    0     628   628
677   114   23    189   465   654
677   31    7     0     670   670
677   536   108   7     562   569
677   588   118   1     558   559
677   879   176   0     501   501
677   452   91    123   463   586
678   424   85    0     593   593
678   995   199   0     479   479
678   664   133   3     542   545
679   444   89    0     590   590
679   33    7     0     672   672
679   986   198   4     477   481
679   156   32    0     647   647
680   290   58    0     622   622
680   383   77    162   441   603
680   846   170   6     504   510
680   326   66    234   380   614
681   459   92    122   467   589
681   140   28    0     653   653
681   443   89    1     591   592
681   489   98    148   435   583
682   830   166   38    478   516
682   785   157   0     525   525
682   880   176   79    427   506
682   146   30    0     652   652
683   145   29    207   447   654
683   904   181   5     497   502
683   674   135   106   442   548
683   457   92    131   460   591
683   201   41    30    612   642
683   633   127   3     553   556
683   587   118   0     565   565
684   137   28    222   434   656
684   730   146   78    460   538
684   358   72    141   471   612
684   838   168   2     514   516
685   945   189   112   384   496
685   90    18    194   473   667
685   658   132   137   416   553
685   385   77    0     608   608
686   401   81    0     605   605
686   763   153   24    509   533
686   696   140   0     546   546
687   255   51    216   420   636
687   27    6     229   452   681
687   600   120   0     567   567
687   289   58    0     629   629
687   724   145   165   377   542
687   800   160   65    462   527
687   180   36    0     651   651
688   956   192   0     496   496
688   96    20    247   421   668
688   151   31    0     657   657
688   193   39    0     649   649
688   76    16    0     672   672
688   954   191   0     497   497
689   131   27    0     662   662
689   212   43    257   389   646
689   903   181   111   397   508
689   996   200   1     488   489
689   270   54    15    620   635
689   738   148   162   379   541
689   837   168   118   403   521
689   544   109   0     580   580
689   2823  165   44    480   524
690   917   184   2     504   506
690   727   146   218   326   544
690   517   104   6     580   586
690   274   55    22    613   635
690   649   130   197   363   560
691   525   105   2     584   586
691   347   70    143   478   621
691   17    4     0     687   687
691   226   46    245   400   645
691   743   149   0     542   542
691   514   103   127   461   588
691   372   75    243   373   616
692   521   105   1     586   587
692   933   187   68    437   505
692   760   152   80    460   540
692   456   92    0     600   600
692   393   79    1     612   613
692   225   45    4     643   647
693   811   163   192   338   530
693   256   52    312   329   641
693   761   153   165   375   540
693   997   200   86    407   493
693   672   135   74    484   558
693   836   168   0     525   525
693   2849  170   57    466   523
694   941   189   74    431   505
694   29    6     229   459   688
694   70    14    9     671   680
694   234   47    0     647   647
694   40    8     0     686   686
694   618   124   0     570   570
694   573   115   94    485   579
695   558   112   223   360   583
695   547   110   0     585   585
695   395   79    212   404   616
695   362   73    0     622   622
695   867   174   118   403   521
695   119   24    212   459   671
695   278   56    0     639   639
696   799   160   3     533   536
696   77    16    0     680   680
696   125   25    203   468   671
696   324   65    16    615   631
696   207   42    322   332   654
696   161   33    187   476   663
696   262   53    247   396   643
697   863   173   82    442   524
697   279   56    0     641   641
697   235   47    253   397   650
697   545   109   1     587   588
697   363   73    0     624   624
697   965   193   0     504   504
697   320   64    0     633   633
698   597   120   1     577   578
698   684   137   218   343   561
698   349   70    334   294   628
698   412   83    0     615   615
698   950   190   0     508   508
698   620   124   0     574   574
698   782   157   0     541   541
699   896   180   6     513   519
699   952   191   0     508   508
699   686   138   0     561   561
699   697   140   129   430   559
699   832   167   0     532   532
699   827   166   38    495   533
699   92    19    0     680   680
700   454   91    139   470   609
700   392   79    276   345   621
700   42    9     4     687   691
700   317   64    329   307   636
700   942   189   0     511   511
700   936   188   17    495   512
700   714   143   105   452   557
701   994   199   57    445   502
701   630   126   135   440   575
701   960   192   41    468   509
701   792   159   0     542   542
701   65    13    273   415   688
701   285   57    156   488   644
701   619   124   137   440   577
701   346   70    0     631   631
702   779   156   1     545   546
702   431   87    2     613   615
702   737   148   0     554   554
702   927   186   0     516   516
702   650   130   2     570   572
702   99    20    2     680   682
702   725   145   5     552   557
703   914   183   35    485   520
703   604   121   132   450   582
703   192   39    252   412   664
703   371   75    131   497   628


For Earth Army ->
Total Earth Soldier = 0
Total Infected Earth Soldier %= -nan(ind)
Total Earth Gunnery = 459
Total Earth Tank = 540
Total Earth Healing Unit = 0
Destructed Earth Soldier Percentage = -nan(ind)
Destructed Earth Gunnery Percentage = 100
Destructed Earth Tank Percentage = 100
Destructed Earth Healing Unit Percentage = -nan(ind)
Total Destructed Earth Units Percentage = 100
Average of Df = 23.7758
Average of Dd = 386.896
Average of Db = 410.672
Df/Db% = 5.78949%
Dd/Db% = 94.2105%


For Alien Army ->
Total Alien Soldier = 0
Total Alien Monster = 503
Total Alien Drone = 496
Destructed Alien Soldier Percentage = -nan(ind)
Destructed Alien Monster Percentage = 95.6262
Destructed Alien Drone Percentage = 0
Total Destructed Alien Units Percentage = 48.1481
Average of Df = 19.0561
Average of Dd = 272.033
Average of Db = 291.089
Df/Db% = 6.54649%
Dd/Db% = 93.4535%
Alien Army has won the game.
