Td    ID    Tj    Df    Dd    Db
273   2462  93    1     179   180
273   813   163   0     110   110
274   788   158   0     116   116
275   816   164   97    14    111
275   812   163   0     112   112
275   814   163   0     112   112
276   809   162   0     114   114
278   808   162   0     116   116
279   765   153   0     126   126
279   2234  47    0     232   232
279   2311  63    24    192   216
279   802   161   0     118   118
280   2335  67    34    179   213
280   807   162   0     118   118
281   801   161   0     120   120
282   798   160   0     122   122
282   795   159   0     123   123
283   789   158   0     125   125
283   797   160   0     123   123
284   2122  25    3     256   259
284   790   158   0     126   126
285   734   147   0     138   138
285   766   154   0     131   131
285   787   158   0     127   127
286   774   155   0     131   131
287   781   157   0     130   130
288   2687  138   19    131   150
288   764   153   0     135   135
288   778   156   0     132   132
288   784   157   0     131   131
288   786   158   116   14    130
289   754   151   0     138   138
289   777   156   0     133   133
291   729   146   0     145   145
291   762   153   0     138   138
291   751   151   0     140   140
291   750   150   0     141   141
292   759   152   0     140   140
293   748   150   0     143   143
294   746   150   0     144   144
295   745   149   0     146   146
295   744   149   0     146   146
296   2270  54    12    230   242
296   2254  51    2     243   245
296   735   147   0     149   149
298   2316  64    11    223   234
298   2289  58    3     237   240
298   2431  87    17    194   211
298   2547  110   0     188   188
298   741   149   0     149   149
299   736   148   0     151   151
299   726   146   0     153   153
300   740   148   0     152   152
300   722   145   0     155   155
300   733   147   0     153   153
302   2677  136   0     166   166
302   720   144   0     158   158
303   700   140   0     163   163
303   2172  35    49    219   268
304   723   145   0     159   159
305   715   143   0     162   162
306   702   141   0     165   165
306   717   144   0     162   162
306   719   144   0     162   162
308   2355  71    54    183   237
309   706   142   0     167   167
310   2212  43    2     265   267
310   2309  62    8     240   248
310   713   143   0     167   167
310   716   144   148   18    166
310   709   142   0     168   168
311   2519  104   0     207   207
311   704   141   0     170   170
312   693   139   0     173   173
313   2388  78    12    223   235
313   698   140   0     173   173
313   701   141   0     172   172
317   699   140   0     177   177
317   695   139   0     178   178
317   694   139   0     178   178
318   689   138   0     180   180
318   691   139   164   15    179
320   2771  155   0     165   165
320   688   138   0     182   182
320   682   137   0     183   183
320   685   137   0     183   183
321   2478  96    6     219   225
321   683   137   0     184   184
321   690   138   0     183   183
323   2660  132   14    177   191
323   681   137   0     186   186
323   678   136   0     187   187
324   677   136   0     188   188
325   2596  120   44    161   205
325   2619  124   1     200   201
325   676   136   0     189   189
326   2320  64    2     260   262
326   2376  76    9     241   250
326   670   134   0     192   192
327   668   134   0     193   193
328   675   135   0     193   193
328   673   135   0     193   193
329   679   136   0     193   193
330   667   134   0     196   196
331   654   131   0     200   200
331   661   133   0     198   198
332   666   134   183   15    198
333   2322  65    19    249   268
333   657   132   0     201   201
333   660   132   0     201   201
334   662   133   0     201   201
334   659   132   0     202   202
335   2356  72    11    252   263
335   2325  65    20    250   270
335   652   131   0     204   204
335   653   131   0     204   204
337   647   130   0     207   207
337   655   131   0     206   206
338   651   131   193   14    207
339   2605  121   6     212   218
339   2287  58    1     280   281
340   2446  90    10    240   250
340   637   128   0     212   212
340   646   130   0     210   210
341   640   128   0     213   213
341   642   129   0     212   212
341   648   130   0     211   211
342   2779  156   0     186   186
342   645   129   0     213   213
343   2574  115   9     219   228
343   2252  51    14    278   292
343   631   127   0     216   216
343   638   128   0     215   215
343   623   125   0     218   218
345   615   123   0     222   222
346   617   124   0     222   222
346   628   126   0     220   220
347   607   122   0     225   225
348   2498  100   52    196   248
349   613   123   0     226   226
349   612   123   0     226   226
351   577   116   0     235   235
351   611   123   213   15    228
351   601   121   0     230   230
353   596   120   0     233   233
353   610   122   0     231   231
353   609   122   0     231   231
354   590   118   0     236   236
355   2730  146   6     203   209
355   589   118   0     237   237
356   603   121   0     235   235
356   605   121   0     235   235
357   2599  120   0     237   237
357   2680  136   14    207   221
358   2255  51    6     301   307
358   595   119   0     239   239
359   592   119   0     240   240
360   561   113   0     247   247
360   583   117   0     243   243
361   2452  91    7     263   270
361   581   117   0     244   244
361   586   118   0     243   243
362   582   117   0     245   245
363   580   116   0     247   247
363   576   116   0     247   247
363   569   114   0     249   249
364   571   115   0     249   249
365   551   111   0     254   254
366   566   114   239   13    252
366   575   115   0     251   251
366   567   114   0     252   252
367   570   114   0     253   253
369   2817  164   11    194   205
369   565   113   0     256   256
370   563   113   0     257   257
371   564   113   0     258   258
372   556   112   0     260   260
373   555   111   0     262   262
374   2763  153   14    207   221
374   2663  133   30    211   241
374   552   111   0     263   263
374   559   112   0     262   262
375   539   108   0     267   267
375   560   112   0     263   263
376   2726  146   0     230   230
376   549   110   0     266   266
376   546   110   0     266   266
377   2292  59    16    302   318
377   2611  123   19    235   254
377   535   107   0     270   270
378   2531  107   16    255   271
378   540   108   0     270   270
379   550   110   0     269   269
379   541   109   0     270   270
380   2210  42    11    327   338
381   533   107   0     274   274
381   531   107   261   13    274
381   532   107   0     274   274
382   2460  92    55    235   290
384   527   106   0     278   278
385   2382  77    4     304   308
385   519   104   0     281   281
387   529   106   0     281   281
387   524   105   0     282   282
388   485   97    0     291   291
388   2392  79    8     301   309
388   526   106   265   17    282
389   511   103   0     286   286
389   530   106   0     283   283
391   515   103   0     288   288
392   522   105   0     287   287
393   508   102   0     291   291
394   482   97    0     297   297
394   2718  144   8     242   250
394   506   102   0     292   292
395   2203  41    8     346   354
395   502   101   0     294   294
395   504   101   0     294   294
396   2337  68    23    305   328
396   2789  158   14    224   238
396   501   101   0     295   295
397   2277  56    1     340   341
397   499   100   0     297   297
398   495   99    0     299   299
400   2259  52    0     348   348
400   2707  142   35    223   258
400   500   100   0     300   300
400   497   100   0     300   300
401   493   99    0     302   302
403   2381  77    35    291   326
403   490   98    0     305   305
404   2504  101   3     300   303
404   2300  60    2     342   344
404   484   97    0     307   307
404   486   98    0     306   306
405   487   98    0     307   307
407   477   96    0     311   311
408   479   96    0     312   312
409   476   96    0     313   313
409   481   97    297   15    312
410   475   95    0     315   315
411   2516  104   7     300   307
412   2413  83    22    307   329
413   2535  107   65    241   306
413   2173  35    4     374   378
413   2466  94    21    298   319
413   472   95    0     318   318
414   468   94    0     320   320
414   471   95    0     319   319
415   2263  53    18    344   362
415   466   94    0     321   321
416   2346  70    3     343   346
416   470   94    0     322   322
417   469   94    0     323   323
418   453   91    0     327   327
418   464   93    0     325   325
419   2582  117   21    281   302
419   451   91    0     328   328
419   462   93    0     326   326
419   455   91    0     328   328
421   449   90    0     331   331
422   447   90    0     332   332
422   448   90    0     332   332
423   446   90    319   14    333
424   441   89    0     335   335
425   2688  138   66    221   287
426   2571  115   12    299   311
426   438   88    0     338   338
426   440   88    0     338   338
427   2851  171   18    238   256
428   2518  104   1     323   324
428   2793  159   38    231   269
428   2444  89    0     339   339
429   437   88    0     341   341
429   445   89    0     340   340
429   436   88    327   14    341
431   2857  172   9     250   259
432   435   87    0     345   345
432   433   87    0     345   345
